"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "27.9" "36" "1" " 3. kerület, Raktár utca 39. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "udvari beálló" NA NA NA
"2" "139.88" "83" "3" " 1. kerület, Halász utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"3" "43.5" "68" "3" " 13. kerület, Népfürdo utca 17/c " "felújítandó" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" "nincs megadva" NA
"4" "28.9" "54" "2" " 21. kerület, Nap utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2 m²" "nem vett részt" NA
"5" "31.3" "37" "1" " 7. kerület, Bajza utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" NA NA
"6" "52.9" "66" "3" " 9. kerület, Tinódi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "69.9" "83" "3" " 3. kerület, Doboz utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "4.5 M Ft"
"8" "27.2" "28" "1" " 3. kerület, Lestyán utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA NA "1.5 M Ft"
"9" "129.9" "110" "4" " 3. kerület, Táborhegyi út " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nem" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "11 m²" NA "3 M Ft"
"10" "47.5" "44" "2" " 9. kerület, Drégely utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "10 m²" NA "4.8 M Ft"
