"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"1" "34.9" "49" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "135" "88" "2" " 5. kerület, Nádor utca 32. " "felújított" "1950 elott" "összkomfortos" "BB" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"3" "22.5" "38" "1" " 10. kerület, Népliget " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA
"4" "124.99" "155" "3" " 9. kerület, Ráday utca 8. " "felújított" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2 m²" NA NA
"5" "19" "60" "3" " 13. kerület, Garam utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"6" "68.25" "81" "3" " 6. kerület, Podmaniczky utca " "jó állapotú" "1950 elott" "összkomfortos" "DD" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "30 000 Ft/hó" NA
"7" "79.9" "77" "2" " 3. kerület, Nánási út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "42 m²" NA NA
"8" "54" "70" "2" " 2. kerület, Víziváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "35.2" "40" "1" " 9. kerület, Telepy utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA "7 m²" NA NA
"10" "29.9" "59" "2" " 15. kerület, Csobogós utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "2 m²" "16 000 Ft/hó" "nem vett részt"
