"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "lakopark_neve" "parkolohely_ara"
"11" "78.9" "92" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "40 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"12" "47.9" "48" "2" " 11. kerület, Kosztolányi Dezso tér " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" "van" "10 m²" NA NA
"13" "165" "145" "4" " 2. kerület, Törökvész " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "igen" "nincs megadva" "önálló garázs - benne van az árban" "van" "200 m²" NA NA
"14" "56.98" "86" "3" " 13. kerület, Zsinór utca 7. " "jó állapotú" "1981-2000 között" "összkomfortos" "CC" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "15 000 Ft/hó" "nem" "külön és egyben is" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "8 m²" NA NA
"15" "35.26" "42" "2" " 9. kerület, Bárd utca 3 " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú" NA "igen" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "9.19 m²" "Bárd utca 3" "4 M Ft"
"16" "35.36" "42" "2" " 9. kerület, Bárd utca 3 " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú" NA "igen" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "8.22 m²" "Bárd utca 3" "4 M Ft"
"17" "31.88" "43" "1" " 9. kerület, Bárd utca 3 " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú" NA "igen" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "Bárd utca 3" "4 M Ft"
"18" "77" "106" "4" " 9. kerület, Bakáts tér 9. " "felújítandó" NA "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"19" "32.5" "50" "1" " 13. kerület, Csanády utca 2. " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA NA
"20" "73.34" "79" "3" " 13. kerület, Dagály Park 1. ütem " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA "igen" "külön és egyben is" "észak" "udvari" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "22 m²" "Dagály Park 1. ütem" "3 M Ft"
