"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "99" "155" "3" " 2. kerület, Pasarét " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "53 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"2" "44.9" "73" "2" " 14. kerület, Herminamezo " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"3" "40.5" "68" "3" " 11. kerület, Csíkihegyek utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" "részt vett"
"4" "22.9" "38" "1" " 14. kerület, Herminamezo " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"5" "38.5" "50" "2" " 14. kerület, Nagyzugló " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"6" "25.9" "45" "1" " 21. kerület, Tejút utca " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA
"7" "32.5" "53" "2" " 11. kerület, Rétköz utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett"
"8" "48.5" "58" "2" " 8. kerület, Baross utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "33.5" "64" "2" " 15. kerület, Rákospalota " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "kelet" "kertre nézo" "8 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA
"10" "54" "71" "2" " 11. kerület, Zámori utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "32.9" "48" "2" " 10. kerület, Kobánya – Óhegy " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"12" "32.9" "48" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"13" "23.9" "57" "2" " 20. kerület, Helsinki út " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "7 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "nem vett részt"
"14" "36.9" "53" "2" " 8. kerület, Kerepesdulo " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "58.5" "83" "2" " 14. kerület, Kiszugló " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
