"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "58.5" "65" "2" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "59.9" "54" "3" " 11. kerület, Korösy József utca " "újszeru" "1950-1980 között" "komfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "32" "56" "1" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "nincs megadva" "12 000 Ft/hó" NA NA NA
"4" "33.9" "48" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA NA
"5" "23.1" "39" "1" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "30.6" "68" "3" " 15. kerület, Páskom park " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "kertre nézo" "1 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "15 000 Ft/hó" "van" "nincs megadva" NA
"7" "30.99" "54" "2" " 4. kerület, Rózsa utca 54. " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"8" "72.2" "81" "4" " 3. kerület, Fanyarka utca " "újszeru" "2011" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "10 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"9" "64.6" "74" "3" " 2. kerület, Margit körút " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "nincs megadva" "igen" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA
"10" "49" "67" "2" " 14. kerület, Répásy Mihály utca " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "panorámás" "6 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"11" "61.9" "80" "3" " 14. kerület, Amerikai út " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "dél" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "önálló garázs" NA NA NA NA
"12" "56.5" "68" "3" " 11. kerület, Kelenföld " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"13" "30.66" "55" "2" " 22. kerület, Nagytétény – Bartók Béla úti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "3 m²" "nincs megadva" NA "udvari beálló" NA NA NA NA
"14" "69.5" "79" "3" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "61.9" "57" "2" " 6. kerület, Bajcsy-Zsilinszky út " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"16" "49.9" "61" "2" " 6. kerület, Székely Bertalan utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"17" "52.5" "71" "3" " 22. kerület, Budafok " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - megvásárolható" NA NA NA "2 M Ft"
"18" "62.9" "80" "3" " 11. kerület, Kelenföld " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA "van" NA NA
"19" "47.9" "50" "2" " 1. kerület, Pauler utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"20" "32.8" "32" "1" " 14. kerület, Törökor " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
