"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "epites_eve" "rezsikoltseg"
"1" "27.5" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "39.9" "82" "2" " 7. kerület, Szinva utca " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"3" "186.6" "91" "3" " 11. kerület, Gellérthegy " "befejezetlen" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" "11 m²" "9.9 M Ft" NA NA
"4" "55.9" "51" "2" " 2. kerület, Törökvész " "felújított" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" NA "nincs megadva" NA "4 m²" NA "1950-1980 között" "14 000 Ft/hó"
"5" "69.9" "91" "3" " 13. kerület, Újlipótváros " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"6" "120" "62" "1" " 5. kerület, Sas utca " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "van" NA NA "1950 elott" NA
"7" "32.9" "49" "1" " 11. kerület, Kéro utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA "5 m²" NA "1950-1980 között" NA
"8" "25.99" "52" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko), egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA "1950-1980 között" NA
"9" "29.5" "57" "2" " 3. kerület, Sarkadi Imre utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület" NA "2 m²" NA NA NA
"10" "32.4" "54" "2" " 9. kerület, Ifjúmunkás utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" NA NA "utca, közterület - fizetos övezet" "van" "4 m²" NA "1950-1980 között" NA
"11" "297.97" "80" "3" " 5. kerület, Lipótváros " "felújított" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" NA "nincs megadva" "van" NA NA "1950-1980 között" NA
"12" "29.9" "67" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"13" "29.9" "68" "3" " 10. kerület, Hang utca " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"14" "108.9" "93" "2" " 5. kerület, Apáczai Csere János utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nem" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA "1950 elott" NA
"15" "47.9" "76" "2" " 13. kerület, Garam utca " "felújítandó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"16" "730" "575" "12" " 9. kerület, Lechner Ödön fasor 1. " "újszeru" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" NA NA "2012" NA
"17" "173" "178" "5" " 11. kerület, Sashegy " "újszeru" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "van" "36 m²" "8 M Ft" "2001-2010 között" NA
"18" "77.7" "90" "3" " 7. kerület, Damjanich utca " "felújított" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "van" NA NA NA NA
"19" "32.9" "42" "2" " 6. kerület, Vörösmarty utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA "1950 elott" NA
