"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "29.9" "28" "1" " 8. kerület, Horánszky utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "43.99" "49" "2" " 14. kerület, Nagy Lajos király útja " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "123.9" "194" "6" " 14. kerület, Kerékgyártó utca " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "2020" NA NA NA
"4" "75.9" "87" "3" " 14. kerület, Furész utca " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gázkazán, padlófutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "18 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "2019" NA NA NA
"5" "49.99" "54" "3" " 7. kerület, Hársfa utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "89" "117" "4" " 3. kerület, Királylaki út " "újszeru" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), gázkazán" "nincs" "nem" "külön és egyben is" "délkelet" "kertre nézo" "33 m²" "igen" "nem tetotéri" "önálló garázs - kötelezo megvenni" "1981-2000 között" "40 000 Ft/hó" "8 M Ft" NA
"7" "135" "130" "4" " 6. kerület, Paulay Ede utca " "újszeru" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "29.4" "27" "1" " 11. kerület, Kanizsai utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"9" "35.39" "43" "1" " 7. kerület, Jósika utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"10" "33.9" "65" "2" " 8. kerület, Vajda Péter utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA
"11" "37.9" "39" "1" " 14. kerület, Kiszugló " "újszeru" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "nincs megadva" "udvari" "6.5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2001-2010 között" NA NA NA
"12" "23.4" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "több mint 10" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA "30 000 Ft/hó" NA "nem vett részt"
"13" "27.5" "26" "1" " 6. kerület, Szondi utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"14" "72.9" "74" "3" " 11. kerület, Csurgói út " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "nyugat" "kertre nézo" "15 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2001-2010 között" NA "4 M Ft" NA
"15" "28.9" "46" "2" " 14. kerület, Ormánság utca " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA "részt vett"
"16" "28.5" "48" "2" " 14. kerület, Mexikói út " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" NA NA NA
"17" "33.5" "51" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA
"18" "49.9" "73" "2" " 14. kerület, Ajtósi Dürer sor " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"19" "63" "125" "4" " 14. kerület, Törökor " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "1950 elott" NA NA NA
"20" "27.9" "54" "2" " 10. kerület, Gyakorló köz " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA NA "részt vett"
