"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara"
"1" "34.9" "49" "2" " 13. kerület, Vizafogó " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "12 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "panorámás" "2.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"2" "43.9" "54" "2" " 6. kerület, Király utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"3" "33.8" "60" "2" " 14. kerület, Rákospatak park " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "38 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" NA "nem" NA NA "utca, közterület - ingyenes" "nincs" NA
"4" "21.9" "46" "1" " 21. kerület, Templom utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"5" "25.8" "56" "2" " 20. kerület, Pacsirta utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" NA NA "nincs megadva" NA NA
"6" "19.9" "27" "1" " 7. kerület, Cserhát utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA
"7" "89.9" "120" "3" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA
"8" "48.9" "62" "2" " 13. kerület, Keszkeno utca " "újszeru" "2019" "összkomfortos" "AA+" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" NA "igen" "külön helyiségben" "dél" "kertre nézo" "4.36 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "3 M Ft"
"9" "68.7" "117" "4" " 8. kerület, Pál utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"10" "25.99" "56" "2" " 20. kerület, Erkel Ferenc utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
