"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara" "panelprogram"
"1" "84.9" "122" "3" " 7. kerület, Kertész utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"2" "39.9" "59" "2" " 7. kerület, Dembinszky utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "30 000 Ft/hó" NA NA NA
"3" "37.5" "47" "2" " 14. kerület, Istvánmezo " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" NA "6 m²" NA NA
"4" "39.9" "55" "2" " 11. kerület, Gyékényes utca " "jó állapotú" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA NA NA
"5" "46.5" "70" "2" " 8. kerület, Mátyás tér " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "20 500 Ft/hó" NA NA NA
"6" "23.2" "25" "1" " 13. kerület, Gogol utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "20 000 Ft/hó" NA NA NA
"7" "49.9" "38" "1" " 7. kerület, Wesselényi utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs" NA NA NA NA
"8" "49" "68" "4" " 13. kerület, Szent László út " "újszeru" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" "van" NA "1.6 m²" NA NA
"9" "36.9" "44" "2" " 13. kerület, Mór utca " "újszeru" "összkomfortos" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "udvari beálló - bérelheto" "2001-2010 között" "nincs" "30 000 Ft/hó" NA "8 000 Ft/hó" NA
"10" "150" "103" "3" " 5. kerület, Belváros " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "1950 elott" "van" "20 000 Ft/hó" NA NA NA
"11" "19.9" "24" "1" " 13. kerület, Mohács utca " "felújítandó" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA NA
"12" "49" "41" "1" " 5. kerület, Nádor utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"13" "114" "116" "4" " 2. kerület, Országút " "felújított" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA "1.5 m²" NA NA
"14" "37.9" "45" "2" " 7. kerület, Csengery utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "25 000 Ft/hó" NA NA NA
"15" "24" "35" "1" " 4. kerület, Rózsa utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "14 000 Ft/hó" NA NA "nincs megadva"
"16" "41.9" "36" "2" " 13. kerület, Pannónia utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "25 000 Ft/hó" NA NA NA
"17" "33.7" "74" "2" " 4. kerület, Újpest " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "nincs" NA NA NA NA
"18" "22.38" "35" "1" " 18. kerület, Havanna lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA "nincs megadva"
"19" "29.9" "56" "2" " 17. kerület, Összefogás utca " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA NA NA
"20" "57.9" "65" "3" " 18. kerület, Ganz-kertváros " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA "40 m²" NA NA
