"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"11" "29.9" "41" "1" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "van" NA NA NA
"12" "144.05" "127" "4" " 11. kerület, Terrace Residence 4 by Cordia " "új építésu" "2021" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "Terrace Residence 4 by Cordia" NA "120 m²" "2.5 M Ft" NA
"13" "46.9" "59" "1" " 11. kerület, Bikszádi utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "144.07" "115" "4" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "2018" "luxus" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "Sasad Liget VI. ütem" "nincs" "29.01 m²" NA NA
"15" "64.5" "81" "3" " 13. kerület, Csanády utca 25. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nem" "külön és egyben is" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" "4 m²" NA NA
"16" "141.78" "76" "3" " 7. kerület, City Green Home " "új építésu" "2019" "duplakomfortos" "AA++" "7" "7" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "igen" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "City Green Home" "van" "101 m²" "6.8 M Ft" NA
"17" "85.9" "94" "3" " 11. kerület, Madárhegy " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "27 m²" NA NA
"18" "39.9" "58" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA NA
"19" "89.9" "121" "3" " 11. kerület, Péterhegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "van" "15 m²" NA NA
"20" "40.17" "44" "2" " 11. kerület, Semiramis Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "Semiramis Garden" "van" "11.07 m²" "3.5 M Ft" NA
