"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "108" "80" "3" " 10. kerület, Kobányai út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "18 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "panorámás" "80 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA
"2" "92" "108" "3" " 12. kerület, Csillebérc " "újszeru" "2015" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "34.3" "65" "3" " 3. kerület, Óbudai lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "46.9" "69" "3" " 7. kerület, Garay utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"5" "44.9" "53" "3" " 6. kerület, Külso-Terézváros " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "44.9" "53" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "28" "41" "1" " 18. kerület, Újpéteritelep " "újszeru" "2012" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"8" "64.9" "95" "3" " 14. kerület, Angol utca " "újszeru" "2019" "összkomfortos" "AA" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "7 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"9" "55" "57" "1" " 12. kerület, Álom utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "26.9" "32" "1" " 3. kerület, Szindbád utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "20 000 Ft/hó" "igen" "egy helyiségben" "dél" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA
"11" "258.99" "104" "5" " 11. kerület, Sasadi 176 " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "hoszivattyú" "van" NA "igen" "külön és egyben is" "nincs megadva" "panorámás" "157.42 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "5 M Ft" "Sasadi 176"
"12" "52.9" "59" "3" " 6. kerület, Andrássy út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "40 000 Ft/hó" "nem" "külön és egyben is" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"13" "31.9" "54" "2" " 9. kerület, Dési Huber utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA NA
"14" "38.8" "50" "2" " 13. kerület, Kárpát utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "11 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA
"15" "68" "75" "2" " 12. kerület, Istenhegy – Diósárok " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "12 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "68" "94" "2" " 14. kerület, Herminamezo " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "27.5" "27" "1" " 3. kerület, Rómaifürdo – Rómaipart " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"18" "26" "33" "1" " 12. kerület, Krisztinaváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
