"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "119.99" "172" "5" " 13. kerület, Váci út " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "udvari" "14 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "58.5" "73" "2" " 12. kerület, Városmajor utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "40 000 Ft/hó" NA NA
"3" "194" "193" "5" " 3. kerület, Erdoalja út " "nincs megadva" "2018" "luxus" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "panorámás" "20 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA "4.5 M Ft" NA
"4" "83.4" "68" "3" " 11. kerület, Lépés utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "panorámás" "30 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"5" "26.5" "36" "1" " 4. kerület, Káposztásmegyer I. lakótelep " "felújított" "1981-2000 között" "összkomfortos" "EE" "5" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nyugat" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"6" "67" "110" "3" " 6. kerület, Vörösmarty utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" NA NA
"7" "53.99" "60" "2" " 14. kerület, Lipótvár utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "24.9" "58" "2" " 17. kerület, Rákoskeresztúri lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"9" "165" "90" "3" " 1. kerület, Víziváros " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"10" "25.9" "59" "3" " 18. kerület, Havanna utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA "nem vett részt"
"11" "21.49" "28" "1" " 10. kerület, Koér utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "északkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA NA
"12" "37.9" "52" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA NA
"13" "49.99" "51" "3" " 7. kerület, Hársfa utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"14" "30.9" "54" "2" " 18. kerület, Tövishát utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA "nincs megadva"
"15" "34" "59" "2" " 7. kerület, Marek József utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület" "nincs" NA NA NA
