"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "44.5" "62" "3" " 6. kerület, Külso-Terézváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "49.99" "120" "4" " 10. kerület, Kobánya – Óhegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA
"3" "119.5" "140" "4" " 3. kerület, Óbuda-Óváros " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "20 m²" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
"4" "35.13" "37" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "114.9" "128" "4" " 6. kerület, Külso-Terézváros " "újszeru" "2019" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA
"6" "64.8" "74" "2.5" " 8. kerület, József körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "13 000 Ft/hó" NA
"7" "21.1" "42" "1" " 20. kerület, Géza utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"8" "130" "114" "4" " 2. kerület, Keleti Károly utca 33. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "kertre nézo" "8 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"9" "41" "45" "2" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "északkelet" "utcai" "2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA NA
"10" "62.5" "81" "2" " 13. kerület, Újlipótváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
