"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "lakopark_neve" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "124.9" "160" "6" " 8. kerület, Gyulai Pál utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"2" "34.9" "61" "3" " 8. kerület, Mária utca " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA NA
"3" "100.2" "108" "3.5" " 13. kerület, Kassák Residence " "új építésu" "duplakomfortos" "nincs megadva" "3" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2019" NA "Kassák Residence" "48 m²" NA NA NA
"4" "33.9" "35" "1" " 3. kerület, Pünkösdfürdo utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA "3 m²" NA NA NA
"5" "56.9" "74" "3" " 9. kerület, Középso-Ferencváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "12 000 Ft/hó" NA NA
"6" "34" "48" "2" " 11. kerület, Sáfrány utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA "részt vett" NA
"7" "18.5" "23" "1" " 14. kerület, Gyarmat utca " "közepes állapotú" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "15 000 Ft/hó" NA NA
"8" "49.9" "60" "3" " 13. kerület, Szabolcs utca " "új építésu" "duplakomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA "7.5 m²" NA NA "4 M Ft"
"9" "45.9" "46" "1" " 1. kerület, Ostrom utca " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA NA
"10" "123.6" "94" "4" " 11. kerület, Neszmélyi út " "újszeru" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "penthouse" "teremgarázs hely - kötelezo megvenni" "2011" NA NA "107 m²" "14 000 Ft/hó" NA "3.8 M Ft"
"11" "33.9" "45" "1" " 2. kerület, Pálos utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "8" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA "4 m²" NA NA NA
"12" "57.9" "72" "3" " 5. kerület, Lipótváros " "jó állapotú" "komfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA NA
"13" "22.1" "37" "1" " 4. kerület, Szabolcsi Bence tér " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "nincs megadva" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA NA "nincs megadva" NA
"14" "24.5" "32" "1" " 13. kerület, Angyalföld " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA "8 000 Ft/hó" NA NA
"15" "26.5" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "2001-2010 között" NA NA "6 m²" "14 000 Ft/hó" "nincs megadva" NA
"16" "580" "828" "30" " 7. kerület, Peterdy utca " "újszeru" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA "16 m²" NA NA NA
"17" "49.9" "59" "3" " 5. kerület, Lipótváros " "jó állapotú" "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "elektromos" "igen" "külön és egyben is" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA "25 000 Ft/hó" NA NA
"18" "38.5" "47" "2" " 13. kerület, Kassák Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA NA NA NA
"19" "64.9" "68" "3" " 13. kerület, Gogol utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"20" "52.9" "61" "3" " 7. kerület, Hársfa utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "40 000 Ft/hó" NA NA
