"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "23" "15" "1" " 6. kerület, Bajnok utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "59.65" "63" "3" " 13. kerület, Angyalföld " "újszeru" "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" "2019" "38 m²" NA NA NA
"3" "88.35" "98" "4" " 13. kerület, Angyalföld " "újszeru" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2019" "45 m²" NA NA NA
"4" "99" "96" "3" " 5. kerület, Belgrád rakpart " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "5 m²" NA NA NA
"5" "70.9" "85" "4" " 11. kerület, Fadrusz utca 4. " "felújított" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "3 m²" "van" "33 000 Ft/hó" NA
"6" "27.9" "57" "2" " 3. kerület, Lukács György utca " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA "nincs megadva"
"7" "25.9" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "2 m²" NA NA "nincs megadva"
"8" "29.9" "63" "2" " 21. kerület, Krizantém utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "3 m²" NA "40 000 Ft/hó" "részt vett"
"9" "79" "94" "4" " 7. kerület, Jósika utca " "újszeru" "luxus" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "hoszivattyú" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "2019" NA "van" NA NA
"10" "32.9" "33" "1" " 8. kerület, Leonardo da Vinci utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "utca, közterület" NA NA "van" NA NA
