"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "54.5" "66" "2" " 13. kerület, Park West " "Park West" "új építésu" "2021" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "10.91 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.49 M Ft" NA NA NA
"2" "71.5" "67" "2" " 11. kerület, Bornemissza tér 2. " NA "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "dél" "kertre nézo" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "3 M Ft" "van" NA NA
"3" "68.9" "63" "2" " 11. kerület, Bornemissza tér 2. " NA "újszeru" "2019" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "dél" "kertre nézo" "6.34 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "3 M Ft" NA NA NA
"4" "76" "103" "4" " 13. kerület, Hegedus Gyula utca " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "panorámás" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA
"5" "129" "72" "2" " 7. kerület, Almássy tér " NA "felújított" NA "duplakomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "119.2" "93" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " NA "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, falfutés" "nem" "külön és egyben is" "délkelet" "kertre nézo" "13.75 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "van" "30 000 Ft/hó" NA
"7" "71.62" "51" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " NA "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, falfutés" "nem" "külön helyiségben" "délkelet" "kertre nézo" "7.2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "van" "20 000 Ft/hó" NA
"8" "23.8" "54" "2" " 18. kerület, Havanna utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" NA "részt vett"
"9" "79.9" "64" "3" " 5. kerület, Lipótváros " NA "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "75" "65" "2" " 5. kerület, Váci utca " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
