"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "39.9" "50" "2" " 7. kerület, Dembinszky utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "39.8" "59" "2" " 13. kerület, Fiastyúk utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" "2.5 m²" NA NA NA
"3" "67" "88" "2" " 7. kerület, Wesselényi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"4" "49.8" "61" "2" " 8. kerület, Mátyás tér " "újszeru" "2013" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA
"5" "24.9" "23" "2" " 6. kerület, Jókai tér " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs" NA NA
"6" "43.88" "76" "2" " 7. kerület, Bethlen Gábor utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"7" "199" "205" "4" " 12. kerület, Törökbálinti út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "40 m²" NA NA NA
"8" "62.9" "65" "2" " 8. kerület, Harminckettesek tere " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"9" "33.5" "51" "2" " 3. kerület, Szolo utca " "felújított" NA "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" "részt vett"
"10" "93.98" "90" "2" " 13. kerület, Párkány utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "62.5 m²" NA NA NA
"11" "52.9" "62" "2" " 2. kerület, Törökvész út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA "nincs megadva" "9 m²" NA NA NA
"12" "66" "78" "2" " 12. kerület, Németvölgy " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2 m²" NA NA NA
"13" "100" "112" "4" " 2. kerület, Felhévíz " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "10 m²" NA NA NA
"14" "33.9" "54" "2" " 18. kerület, Királyhágó utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "tetotéri" "teremgarázs hely - benne van az árban" NA "nincs" NA NA
"15" "78" "102" "3" " 2. kerület, Fillér utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"16" "43" "47" "2" " 11. kerület, Szentimreváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"17" "57" "65" "3" " 2. kerület, Zöldmál " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "kelet" "nincs megadva" "nem" NA "udvari beálló" "2 m²" "nincs" NA NA
