"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "30.5" "59" "2" " 10. kerület, Hungária körút " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "udvari" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"2" "62" "70" "2" " 3. kerület, Hunor utca " "újszeru" "2012" "duplakomfortos" "B" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA NA
"3" "27.9" "36" "1" " 4. kerület, Nádasdy Kálmán utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés" "van" "nem" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" "nem vett részt" NA NA
"4" "52.7" "49" "1" " 6. kerület, Szinyei Merse Pál utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "15 000 Ft/hó" NA
"5" "34.5" "44" "1" " 12. kerület, Gyori út 2. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA
"6" "25.2" "30" "1" " 13. kerület, Szekszárdi utca 26. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), egyéb" "nincs" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "6 800 Ft/hó" NA
"7" "56" "55" "2" " 10. kerület, Kobányai út 45. " "újszeru" "2012" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "13 m²" "nem" "nem tetotéri" "teremgarázs hely" NA "20 000 Ft/hó" NA
"8" "33.9" "39" "1" " 9. kerület, Márton utca 19. " "felújítandó" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "délkelet" "nincs megadva" "8 m²" "igen" "nincs megadva" "nincs megadva" NA "32 000 Ft/hó" NA
"9" "42.95" "52" "2" " 7. kerület, Dohány utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "19 520 Ft/hó" NA
"10" "21.8" "30" "1" " 9. kerület, Haller utca 26. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "nincs megadva" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
