"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo" "rezsikoltseg"
"1" "30" "50" "2" " 3. kerület, Zápor utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "24.6" "51" "2" " 3. kerület, Hadrianus utca " "felújítandó" "összkomfortos" "nincs megadva" "10" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
"3" "25.99" "51" "2" " 3. kerület, Hímzo utca " "felújítandó" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA
"4" "47.9" "50" "2" " 14. kerület, Locsei út 76. " "újszeru" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "6 m²" "2001-2010 között" "nincs" "15 000 Ft/hó"
"5" "69.6" "117" "4" " 8. kerület, Józsefváros – Palotanegyed " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko), elektromos" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA
"6" "38" "45" "2" " 8. kerület, Diószegi Sámuel utca 15. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "2 m²" NA NA NA
"7" "27.9" "43" "2" " 17. kerület, Pesti út " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" NA NA "udvari beálló" "6.3 m²" "1981-2000 között" "nincs" NA
"8" "25" "54" "2" " 21. kerület, Technikus utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²" NA NA NA
"9" "76.9" "77" "3" " 5. kerület, Lipótváros " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA "37 000 Ft/hó"
"10" "83" "152" "4" " 8. kerület, Népszínház utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko), cserépkályha" "igen" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" "35 000 Ft/hó"
