"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "panelprogram"
"1" "34" "30" "1" " 9. kerület, Közraktár utca 12. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "34.99" "48" "1" " 13. kerület, Karikás Frigyes utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "igen" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "74.9" "116" "5" " 11. kerület, Bartók Béla út " "felújítandó" "duplakomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti" "39 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" "3 m²" NA NA
"4" "23.9" "51" "2" " 17. kerület, Rákoskeresztúri lakótelep " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "délkelet" "nincs megadva" "nem" NA "utca, közterület - ingyenes" "1950-1980 között" "18 m²" NA NA
"5" "199" "205" "4" " 12. kerület, Törökbálinti út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "40 m²" NA NA
"6" "41.4" "46" "2" " 2. kerület, Szerb Antal utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" NA "nincs" NA
"7" "44.5" "53" "2" " 13. kerület, József Attila tér " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA "2 m²" NA NA
"8" "30" "55" "2" " 14. kerület, Szikszó park " "jó állapotú" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés" "32 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" "4 m²" NA NA
"9" "34.9" "51" "2" " 11. kerület, Etele út " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "30 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs" "részt vett"
"10" "35.2" "43" "1" " 7. kerület, Hársfa utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "95" "190" "5" " 3. kerület, Czetz János utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "20 m²" NA NA
