"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "125" "126" "5" " 11. kerület, Tétényi út " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA NA NA "30 m²" "3 M Ft"
"12" "17.9" "34" "1" " 8. kerület, Józsefváros – Orczynegyed " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"13" "48.9" "53" "2" " 6. kerület, Szófia utca " "jó állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"14" "67.9" "65" "3" " 11. kerület, Tétényi út " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "nincs" NA NA "13.17 m²" "3 M Ft"
"15" "45.9" "43" "1" " 13. kerület, Meder utca 2-4 " "újszeru" "összkomfortos" "CC" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely" "2019" "nincs" NA NA "5 m²" NA
"16" "36.5" "73" "2" " 4. kerület, Káposztásmegyer " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1981-2000 között" "van" "részt vett" NA NA NA
"17" "29.5" "51" "2" " 8. kerület, Szigony utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" NA "nincs megadva" NA NA NA NA NA NA
"18" "83.4" "102" "3" " 2. kerület, Felhévíz " "felújítandó" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA NA
"19" "57.9" "62" "1" " 12. kerület, Gyori út " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA "5 m²" NA
"20" "68.9" "85" "3" " 2. kerület, Rózsadomb " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
