"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "43" "53" "2" " 11. kerület, Regos utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "16 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "89" "73" "3" " 11. kerület, Budapart tér " "újszeru" "nincs megadva" "BB" "4" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "2019" "van" "20 m²" "5 M Ft"
"3" "62.9" "70" "3" " 2. kerület, Bécsi út 8. " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "17 500 Ft/hó" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" "2 m²" NA
"4" "39.25" "50" "2" " 13. kerület, Vizafogó sétány " "felújított" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "2 m²" NA
"5" "44.9" "49" "2" " 11. kerület, Bikszádi utca " "felújított" "összkomfortos" "A+" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA
"6" "23" "30" "1" " 8. kerület, Baross utca 120. " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"7" "72" "86" "3" " 12. kerület, Gyori út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "3 m²" NA
"8" "144.9" "92" "4" " 11. kerület, Hosszúréti utca 41-43 " "nincs megadva" "luxus" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti" NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "teremgarázs hely" NA "van" "57 m²" NA
"9" "29.9" "35" "1" " 10. kerület, Tavas utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "16 m²" NA
"10" "136.9" "104" "2" " 9. kerület, Ráday utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"11" "31.9" "37" "1" " 8. kerület, József körút 66. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"12" "39.9" "63" "3" " 14. kerület, Róna park " "felújított" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" NA NA "udvari beálló" "1950-1980 között" "van" "8 m²" NA
"13" "36" "39" "2" " 6. kerület, Kmety György utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"14" "36.5" "42" "2" " 14. kerület, Alsórákos " "felújított" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA NA NA
"15" "47.9" "72" "3" " 17. kerület, Rákosmezei repülok útja " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "2001-2010 között" "van" "10 m²" NA
"16" "44.5" "54" "2" " 7. kerület, Erzsébet körút " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"17" "30" "49" "2" " 22. kerület, Terv utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1981-2000 között" NA "3 m²" NA
"18" "64.99" "64" "2" " 12. kerület, Eötvös út " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" NA "udvari beálló" "1981-2000 között" NA "5 m²" NA
"19" "34" "56" "2" " 14. kerület, Gvadányi utca " "felújított" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA
"20" "31" "68" "3" " 10. kerület, Hang utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 m²" NA
