"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "51" "79" "2" " 14. kerület, Francia út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "79.9" "93" "3" " 1. kerület, Víziváros – Váralja " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "udvari" "2.5 m²" "nem" "nincs megadva" "utca, közterület" "25 000 Ft/hó" NA NA NA
"3" "9.9" "14" "1" " 8. kerület, Nagy Fuvaros utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"4" "55.9" "70" "2" " 7. kerület, Damjanich utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "33" "67" "3" " 19. kerület, Vak Bottyán utca " "felújított" "1981-2000 között" "komfortos" "A" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "részt vett" NA
"6" "58.9" "92" "3" " 8. kerület, Orczy tér 4/c. " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északnyugat" "panorámás" "14 m²" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" NA "nincs" NA "12 000 Ft/hó"
"7" "29.9" "44" "2" " 7. kerület, Dembinszky utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA
"8" "84.9" "138" "3" " 14. kerület, Istvánmezo " "jó állapotú" NA "duplakomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "50 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"9" "12.9" "31" "1" " 20. kerület, Kossuthfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "55.15" "70" "2" " 11. kerület, Károli Gáspár tér " "felújított" "1950 elott" "luxus" "nincs megadva" "szuterén" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "10 m²" "igen" "nincs megadva" "utca, közterület - fizetos övezet" "40 000 Ft/hó" "nincs" NA NA
