"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "39.9" "65" "1" " 8. kerület, Józsefváros – Palotanegyed " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "43.9" "53" "2" " 13. kerület, Forgách köz " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" "6 m²" NA NA NA NA
"3" "89" "100" "4" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "3 m²" NA NA NA NA
"4" "39.85" "63" "2" " 11. kerület, Andor utca " "jó állapotú" "összkomfortos" "B" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "5 m²" "van" "40 000 Ft/hó" "nem vett részt" NA
"5" "31.5" "41" "1" " 11. kerület, Hamzsabégi út " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "1950-1980 között" "3 m²" NA "14 000 Ft/hó" NA "1 000 Ft/hó"
"6" "114.9" "128" "4" " 6. kerület, Külso-Terézváros " "újszeru" "luxus" "nincs megadva" "4" "4" "van" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "zárószint" "nincs megadva" "2019" "75 m²" "van" NA NA NA
"7" "54.5" "54" "2" " 12. kerület, Apor Vilmos tér " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "2 m²" NA "4 500 Ft/hó" NA NA
"8" "28.99" "38" "1" " 6. kerület, Szondi utca " "közepes állapotú" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA NA
"9" "26.75" "36" "1" " 8. kerület, Népszínház utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" "5 000 Ft/hó" NA NA
"10" "33.9" "45" "2" " 8. kerület, József körút 66. " "felújítandó" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "15 255 Ft/hó" NA NA
