"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "29.5" "59" "2" " 21. kerület, Csepel-Kertváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "20 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "udvari" "10 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"2" "69.9" "127" "4" " 2. kerület, Lipótmezo " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "északnyugat" "panorámás" "9 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "5 M Ft" NA
"3" "17.5" "34" "1" " 20. kerület, Kossuthfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "62" "83" "3" " 9. kerület, Középso-Ferencváros " "újszeru" "2018" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "28 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "25.99" "32" "1" " 8. kerület, Józsefváros – Losoncinegyed " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"6" "52" "89" "2" " 14. kerület, Törökor " "felújított" "1950-1980 között" "összkomfortos" "A" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"7" "59.9" "106" "3" " 8. kerület, Baross tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"8" "15.8" "37" "2" " 7. kerület, Almássy tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"9" "28.3" "60" "2" " 21. kerület, Csepel-Erdosor " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"10" "220" "135" "4" " 7. kerület, Damjanich utca " "újszeru" "2018" "duplakomfortos" "BB" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "65 000 Ft/hó" "igen" "külön és egyben is" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
