"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "legkondicionalo"
"1" "29.5" "52" "2" " 19. kerület, Kispesti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "több mint 10" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"2" "32" "34" "2" " 12. kerület, Krisztinaváros " "felújított" "1950 elott" "összkomfortos" "FF" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "15 000 Ft/hó" NA
"3" "60" "100" "3" " 9. kerület, Belso-Ferencváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"4" "39.5" "68" "3" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "nincs"
"5" "36" "63" "2" " 11. kerület, Andor utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"6" "32" "34" "1" " 12. kerület, Krisztinaváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"7" "26.9" "45" "1" " 4. kerület, Újpest-Kertváros " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület" NA "nincs"
"8" "25.5" "59" "2" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "panorámás" NA "nem" "zárószint" "nem vett részt" "utca, közterület - ingyenes" NA "van"
"9" "46" "54" "2" " 2. kerület, Törökvész út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" NA NA "nincs megadva" NA NA
"10" "29.9" "54" "2" " 8. kerület, Szigony utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
