"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "164.9" "189" "6" " 5. kerület, Szent István körút 7. " "közepes állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "38 000 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "33.3" "43" "1" " 13. kerület, Gömb utca 30. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "külön helyiségben" "dél" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "26.9" "35" "1" " 13. kerület, Hajdú utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "nem vett részt" NA
"4" "68.5" "96" "3" " 2. kerület, Margit körút " "felújított" NA "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "46" "52" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "nyugat" "utcai" "1 m²" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "nincs" NA "15 000 Ft/hó"
"6" "57.9" "65" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "távfutés" NA "nem" "külön helyiségben" "nyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"7" "26.5" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"8" "49" "63" "2" " 11. kerület, Ulászló utca " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "távfutés" "25 000 Ft/hó" "nem" "külön és egyben is" "délnyugat" "udvari" "5.3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"9" "42.9" "47" "1" " 9. kerület, Középso-Ferencváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"10" "32.5" "49" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "nincs megadva" NA
"11" "28.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" NA
"12" "89.9" "116" "3" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"13" "44.9" "66" "3" " 3. kerület, Óbuda-Óváros " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "10" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
"14" "49.9" "68" "1" " 13. kerület, Róbert Károly körút 36. " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "12 900 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "44.4" "65" "3" " 11. kerület, Rátz László utca 58. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
"16" "33.8" "48" "2" " 12. kerület, Greguss utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "51" "50" "2" " 7. kerület, Holló utca " "nincs megadva" "2014" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" "van" NA NA
"18" "34.5" "53" "1" " 8. kerület, Kerepesi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "észak" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"19" "32.9" "27" "1" " 13. kerület, Bodor utca 2-4 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "14 999 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "21.9" "25" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
