"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "42.12" "48" "2" " 13. kerület, Béke Residence " "Béke Residence" "új építésu" "2022" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "nincs megadva" "délkelet" "nincs megadva" "11.12 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.99 M Ft" NA NA NA
"2" "105" "99" "4" " 3. kerület, Táborhegy " NA "újszeru" "2001-2010 között" "luxus" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "panorámás" "11 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA "van" NA NA
"3" "71" "80" "2" " 9. kerület, Bokréta utca " NA "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "11 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "44.9" "57" "2" " 2. kerület, Csatárka " NA "felújított" NA "összkomfortos" "C" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "panorámás" NA "igen" NA "udvari beálló" NA NA NA NA
"5" "44.9" "53" "1" " 2. kerület, Szépilona " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló" NA NA NA NA
"6" "62.9" "80" "3" " 7. kerület, Dohány utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"7" "46.8" "67" "3" " 4. kerület, Kossuth utca " NA "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "udvari" "19 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "1.3 M Ft" "nincs" NA NA
"8" "83.5" "76" "3" " 1. kerület, Víziváros – Váralja " NA "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"9" "28.9" "32" "1" " 12. kerület, Krisztinaváros " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"10" "22.9" "35" "1" " 15. kerület, Zsókavár utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "3.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA
"11" "95" "85" "3" " 6. kerület, Nagymezo utca " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"12" "83.5" "76" "2" " 5. kerület, Királyi Pál utca " NA "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA "30 000 Ft/hó"
"13" "160" "148" "4" " 2. kerület, Törökvész " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "panorámás" "20 m²" "nincs megadva" "zárószint" "teremgarázs hely" NA "van" NA NA
