"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "75" "65" "3" " 5. kerület, Apáczai Csere János utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "185" "220" "6" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "felújított" "duplakomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" "van" "116 m²" NA NA NA
"3" "45" "70" "3" " 16. kerület, Ómátyásföld " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA "van" NA NA NA NA
"4" "65" "58" "2" " 7. kerület, Dob utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "van" NA NA NA NA
"5" "93" "152" "5" " 8. kerület, Mária utca " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"6" "37.9" "45" "2" " 11. kerület, Somogyi út " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA NA NA NA
"7" "24.5" "26" "1" " 7. kerület, Rejto Jeno utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA "15 000 Ft/hó" NA NA
"8" "165" "165" "6" " 2. kerület, Hárshegy " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "39 m²" NA NA NA
"9" "190" "195" "7" " 2. kerület, Hárshegy " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "20 m²" NA NA NA
"10" "83.4" "102" "3" " 2. kerület, Felhévíz " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"11" "44.9" "63" "2" " 8. kerület, Harminckettesek tere " "felújítandó" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" "1950 elott" NA "10 m²" "13 000 Ft/hó" NA NA
"12" "60" "42" "2" " 6. kerület, Bajza utca " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"13" "44.5" "57" "2" " 7. kerület, Wesselényi utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "12 000 Ft/hó" NA NA
"14" "98" "98" "4" " 7. kerület, Károly körút " "felújítandó" "nincs megadva" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA "4 m²" "25 000 Ft/hó" NA NA
"15" "146" "110" "3" " 5. kerület, Ferenciek tere " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "van" NA "14 000 Ft/hó" NA NA
"16" "64" "74" "2" " 2. kerület, Keleti Károly utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "3 m²" NA NA NA
"17" "40.2" "40" "2" " 4. kerület, Julianus Ház 2. " "új építésu" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" NA NA "Julianus Ház 2." "3.5 M Ft"
"18" "40.2" "40" "2" " 4. kerület, Julianus Ház 2. " "új építésu" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "2019" NA NA NA "Julianus Ház 2." "3.5 M Ft"
"19" "49.75" "44" "2" " 4. kerület, Julianus Ház 2. " "új építésu" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "van" "30 m²" NA "Julianus Ház 2." "3.5 M Ft"
"20" "79" "76" "3" " 5. kerület, Kálmán Imre utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA "15 000 Ft/hó" NA NA
