"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "67" "73" "3" " 7. kerület, Wesselényi utca 11. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "42.5" "54" "2" " 12. kerület, Bürök utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "18 000 Ft/hó" "4 m²" NA NA
"3" "65.7" "72" "3" " 13. kerület, Radnóti Miklós utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" "van" "igen" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "69" "53" "2" " 12. kerület, Pagony utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "dél" "panorámás" "nem" "tetotéri" "udvari beálló - benne van az árban" "17 250 Ft/hó" "9 m²" NA NA
"5" "44.9" "73" "3" " 14. kerület, Thököly út " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "35 000 Ft/hó" NA NA NA
"6" "46.5" "58" "2" " 11. kerület, Villányi út " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló" NA "3 m²" NA NA
"7" "53" "46" "1" " 1. kerület, Feszty Árpád utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "63.9" "75" "2" " 2. kerület, Margit körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gázkazán" "van" "igen" "külön helyiségben" "északnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "15 000 Ft/hó" "6 m²" NA NA
"9" "46" "52" "2" " 11. kerület, Ballagi Mór utca " "felújított" "1950 elott" "összkomfortos" "EE" "3" "4" "nincs" "3 m vagy magasabb" "hoszivattyú, padlófutés" "van" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"10" "38.7" "48" "2" " 13. kerület, Reitter Ferenc utca 150. " "nincs megadva" "2013" "összkomfortos" "AA+" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "nyugat" "udvari" "nem" "nincs megadva" "utca, közterület" "10 000 Ft/hó" NA NA NA
"11" "49.9" "82" "3" " 14. kerület, Félhold utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "kertre nézo" "nincs megadva" NA "utca, közterület - ingyenes" NA "4 m²" NA NA
"12" "34.4" "39" "1" " 8. kerület, Harminckettesek tere 2. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "54.9" "61" "2" " 11. kerület, Vásárhelyi Pál utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "26.5" "60" "3" " 4. kerület, Nyár utca 39. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" "nincs megadva" NA
"15" "44" "48" "1" " 9. kerület, Bokréta utca 32-36 " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA "5 M Ft"
"16" "149" "140" "4" " 12. kerület, Kázmér út " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "nincs megadva" "dél" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "15 m²" NA NA
"17" "39.9" "90" "4" " 19. kerület, Árpád utca " "újszeru" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "udvari beálló" NA NA NA NA
"18" "159.9" "95" "3" " 5. kerület, Károly körút " "felújított" NA "luxus" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "északkelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"19" "38.9" "57" "2" " 13. kerület, Tomori köz 7. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "2 m²" NA NA
"20" "89.9" "110" "4" " 13. kerület, Frangepán utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "nyugat" "nincs megadva" "nem" "penthouse" "teremgarázs hely - megvásárolható" "40 000 Ft/hó" "80 m²" NA NA
