"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg"
"1" "26.9" "53" "2" " 19. kerület, Fo utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA
"2" "79.9" "94" "2" " 1. kerület, Attila út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"3" "28.5" "57" "2" " 3. kerület, Szilke utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "utcai" "1 m²" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" NA NA
"4" "38.6" "51" "2" " 11. kerület, Hadak útja " "felújított" NA "összkomfortos" "nincs megadva" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "8 m²" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "van" NA
"5" "159.9" "154" "4" " 6. kerület, Nagymezo utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA
"6" "24.99" "49" "2" " 10. kerület, Oltó utca 6. " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"7" "25.5" "47" "2" " 15. kerület, Páskomliget utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "31.6" "48" "2" " 14. kerület, Nezsider park " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" NA "nincs megadva" NA NA "nincs megadva" "van" NA
"9" "22.5" "28" "1" " 4. kerület, Thaly Kálmán utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "nincs megadva" "egy helyiségben" "észak" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA "30 000 Ft/hó"
"10" "35" "37" "1" " 12. kerület, Fogaskereku utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "elektromos" "igen" "egy helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"11" "36" "50" "2" " 6. kerület, Kmety György utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"12" "29.9" "44" "2" " 19. kerület, Wekerletelep " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" NA "udvari beálló" NA NA
"13" "37.9" "68" "2" " 10. kerület, Állomás utca 3. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "12 000 Ft/hó"
