"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "23.2" "38" "1" " 10. kerület, Harmat utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "26.9" "59" "2" " 20. kerület, Eperjes utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" NA "utca, közterület - ingyenes" "nincs" "6 m²" NA NA NA
"3" "34.9" "42" "2" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"4" "28.9" "52" "2" " 19. kerület, Simonyi Zsigmond utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA
"5" "73.5" "102" "3" " 2. kerület, Lipthay utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA "17 000 Ft/hó" NA
"6" "59.9" "54" "2" " 11. kerület, Korösy József utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA NA
"7" "32.9" "46" "2" " 11. kerület, Rátz László utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "4 m²" "részt vett" NA NA
"8" "89.9" "95" "3" " 1. kerület, Ág utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA "4 m²" NA NA NA
"9" "99.9" "148" "4" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "63.8" "93" "3" " 13. kerület, Angyalföld " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "24 m²" NA NA "3 M Ft"
"11" "63.43" "38" "1" " 5. kerület, Szalay utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA NA
"12" "33.9" "57" "2" " 14. kerület, Ungvár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"13" "59.9" "54" "2" " 11. kerület, Lágymányosi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "van" "4 m²" NA NA NA
