"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "48" "42" "2" " 8. kerület, Práter utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "69 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA
"2" "29.9" "58" "2" " 15. kerület, Csobogós utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA
"3" "33.9" "65" "2" " 4. kerület, Boröndös utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "40 000 Ft/hó" NA
"4" "56.9" "71" "2" " 6. kerület, Bajnok utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "40 000 Ft/hó" NA
"5" "33.8" "46" "1" " 14. kerület, Besnyoi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "35 000 Ft/hó" NA
"6" "32.5" "65" "3" " 15. kerület, Drégelyvár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"7" "28" "53" "2" " 1. kerület, Batthyány tér 4. " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "27.5" "49" "2" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"9" "25" "37" "1" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"10" "24.8" "38" "1" " 14. kerület, Rákosfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
