"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "29.7" "64" "3" " 4. kerület, Perényi Zsigmond utca " "jó állapotú" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "észak" "kertre nézo" "6 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "19" "39" "1" " 10. kerület, Liget utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "38" "54" "2" " 10. kerület, Népliget " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"4" "62" "76" "4" " 4. kerület, Attila utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "északkelet" "panorámás" "5 m²" "nem" "nem tetotéri" "udvari beálló - bérelheto" "2001-2010 között" "55 000 Ft/hó" "10 000 Ft/hó" NA
"5" "52.5" "72" "2" " 13. kerület, Dráva utca " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "dél" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" "30 000 Ft/hó" NA "nincs megadva"
"6" "37.1" "49" "2" " 13. kerület, Népfürdo utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "25 000 Ft/hó" NA "nem vett részt"
"7" "40" "59" "2" " 6. kerület, Vörösmarty utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"8" "36.9" "68" "3" " 15. kerület, Korakás park " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "40 000 Ft/hó" NA "nincs megadva"
"9" "74" "72" "2" " 6. kerület, Andrássy út " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "49.9" "62" "2" " 8. kerület, Kölcsey utca " "felújított" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "88.88" "92" "4" " 13. kerület, Angyalföldi út " "újszeru" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "külön és egyben is" "kelet" "kertre nézo" "51.8 m²" "igen" "nincs megadva" "teremgarázs hely" "2019" NA NA NA
"12" "28.5" "32" "1" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "2.48 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "2019" NA "2 M Ft" NA
"13" "13.8" "25" "1" " 19. kerület, Kispest-Óváros " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"14" "73.4" "92" "4" " 13. kerület, Angyalföldi út " "újszeru" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "külön és egyben is" "kelet" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" "2019" NA NA NA
"15" "78.9" "92" "3" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "hoszivattyú" "van" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "7.89 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA "4 M Ft" NA
"16" "78.9" "92" "4" " 13. kerület, Angyalföldi út " "újszeru" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel, megújuló energia" "van" "igen" "külön és egyben is" "kelet" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "2019" NA NA NA
"17" "34.5" "40" "1" " 14. kerület, Erzsébet királyné útja 9. " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA "25 000 Ft/hó" NA NA
"18" "59" "65" "3" " 13. kerület, Angyalföldi út " "újszeru" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, megújuló energia" "van" "igen" "külön és egyben is" "kelet" "kertre nézo" "7 m²" "igen" "nem tetotéri" "teremgarázs hely" "2019" NA NA NA
"19" "42.5" "55" "2" " 8. kerület, Horánszky utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"20" "36.9" "51" "1" " 7. kerület, Dembinszky utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
