"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "70.93" "89" "4" " 3. kerület, Kocsis Sándor út 4. " "új építésu" "2020" "duplakomfortos" "AA++" "2" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" "igen" "egy helyiségben" "dél" "kertre nézo" "12.4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "29.99" "59" "3" " 15. kerület, Rákospalota – MÁV-telep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA
"3" "31.9" "40" "1" " 7. kerület, Munkás utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "114.9" "90" "3" " 7. kerület, Gozsdu udvar " "újszeru" "2011" "luxus" "nincs megadva" "3" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA
"5" "25.7" "40" "1" " 10. kerület, Veszprémi utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "délkelet" "utcai" "1.6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "25 000 Ft/hó"
"6" "96" "104" "4" " 12. kerület, Virányos út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "20 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"7" "73.9" "55" "2" " 6. kerület, Teréz körút " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó"
"8" "29.5" "50" "2" " 8. kerület, Losonci tér " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"9" "44.8" "63" "2" " 8. kerület, Rákóczi út " "felújított" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "dél" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "35 000 Ft/hó"
"10" "84.9" "92" "3" " 1. kerület, Attila út " "felújított" NA "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délnyugat" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "40 000 Ft/hó"
"11" "66.9" "85" "4" " 8. kerület, Tolnai Lajos utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "18 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "66.9" "90" "4" " 16. kerület, Mátyásföld – Petofikert " "új építésu" "2019" "luxus" "A+" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "21 m²" "igen" "nem tetotéri" "udvari beálló" NA NA NA
"13" "48.9" "55" "2" " 3. kerület, Hunor utca 22. " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"14" "83.46" "123" "3" " 6. kerület, Aradi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "50 000 Ft/hó"
"15" "44.5" "49" "2" " 13. kerület, Párkány utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "északnyugat" "kertre nézo" "11.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó"
"16" "19.99" "27" "1" " 8. kerület, Józsefváros – Orczynegyed " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "66" "111" "2" " 8. kerület, Csepreghy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "19.9" "34" "1" " 21. kerület, Szent István út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"19" "100.6" "112" "4" " 2. kerület, Felvinci út " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nem" "külön helyiségben" "dél" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"20" "36" "62" "3" " 2. kerület, Víziváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
