"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg"
"1" "35.5" "71" "3" " 15. kerület, Zsókavár utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nem" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "43.5" "58" "2" " 6. kerület, Külso-Terézváros " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"3" "33.9" "54" "2" " 9. kerület, Viola utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"4" "32.9" "40" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"5" "43.5" "58" "2" " 6. kerület, Rózsa utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"6" "32.9" "40" "1" " 7. kerület, Murányi utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"7" "33.9" "67" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "felújítandó" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950-1980 között" "nincs" "4 m²" NA
"8" "83.6" "57" "3" " 3. kerület, Virág Benedek utca " "újszeru" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" NA "nincs megadva" "2019" NA "12 m²" NA
"9" "24.8" "49" "2" " 3. kerület, Boglár utca " "felújítandó" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" "1981-2000 között" NA "4 m²" NA
"10" "58.5" "65" "3" " 18. kerület, Királyhágó utca " "újszeru" "luxus" "nincs megadva" "4" "földszintes" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "délnyugat" "udvari" "nem" "tetotéri" NA "teremgarázs hely - benne van az árban" "2001-2010 között" "van" "36 m²" NA
"11" "41.9" "56" "2" " 9. kerület, Viola utca " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "van" NA NA
"12" "45.5" "65" "3" " 11. kerület, Bártfai utca " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "1981-2000 között" "van" "3 m²" "35 000 Ft/hó"
"13" "34.5" "48" "2" " 19. kerület, Kispest-Kertváros " "újszeru" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "2001-2010 között" "nincs" NA NA
