"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara" "rezsikoltseg"
"1" "57.9" "78" "2" " 16. kerület, Gordonka utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "11 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "45.9" "134" "5" " 20. kerület, Hársfa sétány " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" NA NA
"3" "39" "47" "2" " 16. kerület, Gesztenye utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA
"4" "65.2" "69" "3" " 11. kerület, Péterhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "panorámás" "14.23 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "4 M Ft" NA
"5" "115" "91" "3" " 3. kerület, Rozgonyi Piroska utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "24 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA NA
"6" "20.99" "37" "1" " 4. kerület, Kordován tér " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA "25 000 Ft/hó"
"7" "59.8" "99" "4" " 17. kerület, Kvasz András utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "udvari" "19 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"8" "36.5" "73" "2.5" " 17. kerület, Rákoskeresztúri lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"9" "25.9" "62" "2" " 15. kerület, Rákos út " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "északkelet" "utcai" "6 m²" "nem" NA "utca, közterület - ingyenes" "nincs" NA NA "30 000 Ft/hó"
"10" "48.9" "75" "2" " 16. kerület, Ómátyásföld " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11 m²" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA "12 000 Ft/hó"
"11" "95" "83" "2" " 6. kerület, Király utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "26.5" "47" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "5" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" NA "nem" "zárószint" "utca, közterület" NA NA NA NA
"13" "59" "90" "2" " 7. kerület, Baross tér " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"14" "70.3" "78" "3" " 3. kerület, Veder utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "9 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "3 M Ft" NA
"15" "60.1" "65" "3" " 3. kerület, Veder utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "7.5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "3 M Ft" NA
"16" "36" "48" "1" " 11. kerület, Irinyi József utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"17" "38" "54" "2" " 10. kerület, Gyárdulo " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "28.9" "32" "1" " 10. kerület, Gyárdulo " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "129" "72" "2" " 7. kerület, Almássy tér " "felújított" "1950 elott" "duplakomfortos" "AA" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"20" "46" "77" "2" " 9. kerület, Ülloi út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "észak" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
