"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"1" "69.9" "94" "3" " 22. kerület, Baross Gábor-telep " "újszeru" "2012" "duplakomfortos" "A" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "20 000 Ft/hó" "igen" "külön és egyben is" "délkelet" "kertre nézo" "8.5 m²" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA
"2" "45.48" "78" "2" " 8. kerület, Baross utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" NA "35 000 Ft/hó" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"3" "29.25" "52" "2" " 20. kerület, Wesselényi utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "házközponti, megújuló energia" "van" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "7.5 m²" "nincs megadva" NA "nincs megadva" NA
"4" "30.9" "52" "2" " 14. kerület, Bolgárkertész utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "cserépkályha" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"5" "49.9" "66" "2" " 6. kerület, Külso-Terézváros " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA
"6" "28.9" "56" "2" " 16. kerület, Újmátyásföld " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA
"7" "33.9" "30" "1" " 12. kerület, Márvány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "elektromos" "nincs" "25 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA
"8" "28.9" "65" "3" " 7. kerület, Marek József utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "van" "22 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA
"9" "72.9" "75" "2" " 5. kerület, Haris köz " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "22 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"10" "49.5" "66" "2" " 1. kerület, Batthyány utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "nincs megadva" NA
