"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"1" "46.99" "61" "3" " 11. kerület, Lágymányosi lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "29.9" "30" "1" " 7. kerület, Király utca " "felújított" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "126.95" "73" "7" " 9. kerület, Belso-Ferencváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"4" "37.5" "60" "2" " 14. kerület, Kerékgyártó utca " "nincs megadva" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "3 m²" NA NA
"5" "24.9" "33" "1" " 13. kerület, Mohács utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA "15 000 Ft/hó" NA
"6" "48.9" "38" "1" " 5. kerület, Mérleg utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" NA NA NA NA
"7" "25.49" "31" "1" " 14. kerület, Törökor " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA NA
"8" "36" "53" "2" " 3. kerület, Kenyeres utca " "felújítandó" "összkomfortos" "D" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "dél" "utcai" "nem" NA "nincs megadva" "1981-2000 között" "nincs" "4.78 m²" NA NA
"9" "24.99" "51" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA "4 m²" NA NA
"10" "41" "45" "1" " 11. kerület, Bölcso utca " "közepes állapotú" "összkomfortos" "D" "5" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" NA NA NA
"11" "37.9" "54" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
