"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "26.9" "36" "1" " 14. kerület, Bánki Donát park " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "14 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"2" "41.99" "73" "2.5" " 3. kerület, Amfiteátrum utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA
"3" "29.9" "58" "2" " 10. kerület, Ülloi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "46.3" "63" "2" " 7. kerület, Hernád utca " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "31.9" "57" "1" " 8. kerület, Népszínház utca 14. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "38.9" "47" "2" " 10. kerület, Somfa utca " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "11 000 Ft/hó" "nem" "egy helyiségben" "északnyugat" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"7" "89.9" "97" "2" " 8. kerület, Bródy Sándor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), elektromos" "van" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "29.9" "47" "2" " 8. kerület, Baross utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nem" "egy helyiségben" "délkelet" "utcai" "4.5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs megadva" NA
"9" "31.5" "51" "2" " 3. kerület, Juhász Gyula utca " "felújított" NA "nincs megadva" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "40 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nincs megadva" "utca, közterület" "nincs megadva" NA
"10" "37" "45" "1" " 11. kerület, Bartók Béla út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "van" "14 000 Ft/hó" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA
