"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "56.5" "63" "2" " 2. kerület, Pusztaszeri út " "felújított" "1981-2000 között" "összkomfortos" "GG" "félemelet" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "nincs" "30 000 Ft/hó" "igen" "külön helyiségben" "dél" "panorámás" "8 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"2" "46.9" "58" "2" " 12. kerület, Kissvábhegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "15 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"3" "57.9" "53" "1" " 5. kerület, Szent István körút 13. " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "9 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"4" "93.2" "101" "4" " 11. kerület, Madárhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "igen" "külön és egyben is" "dél" "panorámás" "23 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4.5 M Ft" NA
"5" "69.99" "86" "3" " 13. kerület, Újlipótváros " "felújított" NA "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "34.9" "70" "3" " 15. kerület, Újpalota " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "35 000 Ft/hó" "igen" "külön helyiségben" "dél" "panorámás" "4.4 m²" "nem" NA "utca, közterület - ingyenes" NA NA
"7" "29.9" "47" "2" " 22. kerület, Budafok " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"8" "94" "118" "3" " 7. kerület, Akácfa utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "45 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"9" "32.9" "50" "2" " 3. kerület, Szolo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "részt vett"
"10" "30" "56" "1" " 16. kerület, Hunyadvár utca 45. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "tetotéri" "utca, közterület - ingyenes" NA NA
