"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara" "panelprogram"
"1" "32.9" "67" "2" " 13. kerület, Angyalföld " "közepes állapotú" "komfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "3.3 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA NA
"2" "150" "118" "4" " 3. kerület, Csillaghegy " "új építésu" "luxus" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "délkelet" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "2019" NA NA NA NA NA
"3" "56.6" "68" "2" " 11. kerület, Karinthy Frigyes út " "felújítandó" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" "13 000 Ft/hó" NA NA NA
"4" "154.99" "98" "4" " 11. kerület, Sasadi 176 " "új építésu" "duplakomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "hoszivattyú" "igen" "külön és egyben is" "nincs megadva" "panorámás" "24.85 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" "van" NA "Sasadi 176" "5 M Ft" NA
"5" "100.16" "101" "3" " 11. kerület, Madárhegy " "új építésu" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "36 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2021" NA NA NA "4.5 M Ft" NA
"6" "50.39" "54" "2" " 3. kerület, Óbuda – Filatorigát " "nincs megadva" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "7.44 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "2020" NA NA NA "4 M Ft" NA
"7" "99" "140" "4" " 9. kerület, Gönczy Pál utca " "felújítandó" "komfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA NA
"8" "26.5" "36" "1" " 14. kerület, Herminamezo " "jó állapotú" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA "15 000 Ft/hó" NA NA NA
"9" "83" "110" "4" " 2. kerület, Országút " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"10" "64.9" "90" "2" " 12. kerület, Városmajor utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "9 m²" "nem" "nincs megadva" "utca, közterület" "1950 elott" "nincs" "38 000 Ft/hó" NA NA NA
"11" "70.9" "70" "2" " 12. kerület, Orbánhegy " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "igen" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"12" "81.4" "73" "3" " 11. kerület, Sasad " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "dél" "nincs megadva" "23 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" "van" NA NA "5 M Ft" NA
"13" "47.9" "82" "4" " 18. kerület, Margó Tivadar utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" "van" NA NA NA "nincs megadva"
"14" "118" "105" "4" " 12. kerület, Virányos " "felújított" "összkomfortos" "nincs megadva" "4" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "8.8 m²" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA NA NA
"15" "24.5" "49" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA NA "nem vett részt"
"16" "27.49" "35" "1" " 13. kerület, Üteg utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "igen" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA NA NA
