"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg"
"1" "69.4" "60" "1" " 5. kerület, Szent István körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "52" "60" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "dél" "panorámás" "nem" NA "udvari beálló - benne van az árban" "van" NA NA
"3" "41.9" "50" "2" " 6. kerület, Jókai utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
"4" "599" "240" "5" " 5. kerület, Olimpia park " "felújított" "1950 elott" "luxus" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "penthouse" "nincs megadva" "van" "180 m²" NA
"5" "64.9" "100" "4" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "33.9" "42" "3" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"7" "55" "83" "3" " 14. kerület, Hungária körút " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "4 m²" "44 000 Ft/hó"
"8" "36.9" "50" "3" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "10 m²" NA
"9" "25.9" "25" "1" " 7. kerület, Dob utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "19.2" "38" "1" " 20. kerület, Wesselényi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "64.89" "81" "2" " 13. kerület, Szent István körút " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA "6 m²" NA
"12" "59.9" "77" "3" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" NA
"13" "34.9" "52" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA
"14" "17.9" "23" "1" " 13. kerület, Kassák Lajos utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "15 000 Ft/hó"
"15" "64" "84" "3" " 13. kerület, Hegedus Gyula utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA
"16" "134" "104" "4" " 7. kerület, Erzsébet körút 51. " "felújított" "1950-1980 között" "luxus" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" NA NA "18 000 Ft/hó"
"17" "47.9" "50" "2" " 1. kerület, Krisztinaváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
