"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely"
"1" "66.9" "60" "2" " 9. kerület, Ráday utca 14. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "22.2" "36" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"3" "36.2" "36" "2" " 14. kerület, Nagy Lajos király útja " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"4" "17.3" "35" "1" " 20. kerület, Szivacs utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" NA "15 000 Ft/hó" NA
"5" "32.9" "31" "1" " 13. kerület, Hegedus Gyula utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "van" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"6" "28.9" "55" "2" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "4 m²"
"7" "20.5" "18" "1" " 19. kerület, Templom tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" "20 000 Ft/hó" NA
"8" "46.9" "77" "3" " 14. kerület, Kiszugló " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"9" "33" "43" "1" " 13. kerület, Váci út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"10" "73.9" "74" "3" " 13. kerület, Újlipótváros " "felújított" "1950-1980 között" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön és egyben is" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"11" "49.9" "74" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló" NA NA NA
"12" "33.99" "56" "1" " 8. kerület, Népszínház utca 37. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"13" "26.99" "51" "2" " 19. kerület, Felsokispest " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "25.8" "47" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "56" "61" "3" " 7. kerület, Damjanich utca " "felújítandó" "1950 elott" "komfortos" "CC" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"16" "24.9" "36" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "35.4" "58" "3" " 10. kerület, Gyakorló utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "4 m²"
"18" "55" "65" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "46.7" "61" "1" " 14. kerület, Istvánmezo " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²"
"20" "34.5" "48" "2" " 11. kerület, Rátz László utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" NA "utca, közterület - ingyenes" NA NA NA
