"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo"
"1" "32.6" "29" "1" " 3. kerület, Hadrianus utca 9. " "új építésu" "2021" "komfortos" "AA++" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2.5 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"2" "34.9" "45" "2" " 18. kerület, Szent Lorinc sétány " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA "van"
"3" "27.6" "38" "1" " 11. kerület, Baranyai utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"4" "47.8" "90" "4" " 17. kerület, Alsórákoshegy " "újszeru" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "igen" "nincs megadva" "önálló garázs" NA NA
"5" "42.58" "43" "2" " 13. kerület, Angyalföld – Loportárdulo " "új építésu" "2022" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "6.05 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"6" "56.8" "70" "3" " 13. kerület, Frangepán utca 28-30 " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "6.6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.45 M Ft" NA
"7" "189.9" "95" "2" " 5. kerület, Lipótváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "kelet" "utcai" "10 m²" "nem" "nem tetotéri" "nincs megadva" NA NA
"8" "38.8" "43" "2" " 13. kerület, Angyalföld – Loportárdulo " "új építésu" "2022" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "kertre nézo" "9.03 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" "van"
"9" "30.28" "32" "1" " 13. kerület, Angyalföld – Loportárdulo " "új építésu" "2022" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "3.7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" "van"
"10" "95.1" "100" "4" " 3. kerület, Ürömhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön és egyben is" "kelet" "panorámás" "24.5 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "van"
"11" "119.03" "79" "3" " 2. kerület, Szemlohegy " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "megújuló energia, padlófutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "23.6 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" "van"
"12" "218.12" "92" "3" " 2. kerület, Szemlohegy " "új építésu" "2020" "luxus" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "megújuló energia, padlófutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "147.15 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" "4 M Ft" "van"
"13" "59" "69" "3" " 13. kerület, Angyalföldi út " "új építésu" "2020" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "kelet" "kertre nézo" "11 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.9 M Ft" "van"
"14" "223.65" "144" "3" " 2. kerület, Szemlohegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "megújuló energia, padlófutés" "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "63.66 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "4 M Ft" "van"
