"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram"
"1" "64.9" "78" "3" " 7. kerület, Dohány utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "25 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "69.9" "94" "2" " 22. kerület, Baross Gábor-telep " "újszeru" "2001-2010 között" "összkomfortos" "AA" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "van" "8 m²" NA
"3" "73.99" "80" "4" " 12. kerület, Városmajor utca " "felújított" NA "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA
"4" "89.9" "72" "3" " 2. kerület, Garas utca 12. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA "17 m²" NA
"5" "79.9" "101" "4" " 9. kerület, Ráday utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "29.9" "44" "2" " 8. kerület, Rökk Szilárd utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA "10 m²" NA
"7" "32.99" "71" "2" " 10. kerület, Gépmadár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "5 m²" "nincs megadva"
"8" "44.9" "47" "2" " 9. kerület, Vaskapu utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - bérelheto" "nincs" "10 m²" NA
"9" "73" "73" "2" " 12. kerület, Hajnóczy József utca " "felújított" NA "luxus" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "20 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"10" "61.9" "62" "2" " 8. kerület, Tisztviselotelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4.4 m²" NA
"11" "53.5" "73" "3" " 7. kerület, Damjanich utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "140.24" "100" "3" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "36.8" "46" "2" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "5 850 Ft/hó" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA
"14" "62" "87" "3" " 19. kerület, Kispest " "nincs megadva" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "van" "6 m²" NA
"15" "39.9" "79" "2" " 7. kerület, Szinva utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"16" "28" "45" "2" " 7. kerület, Garay tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "15 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "25.99" "45" "1" " 20. kerület, Baross utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "távfutés" "30 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "6 m²" "nincs megadva"
"18" "67.9" "91" "2" " 7. kerület, Rózsa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "14 000 Ft/hó" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"19" "35" "50" "2" " 8. kerület, Práter utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "3 m²" "nincs megadva"
"20" "81" "65" "3" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "hoszivattyú" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "van" "19 m²" NA
