"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "epites_eve" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "94.9" "99" "3" " 6. kerület, Lovag utca " "nincs megadva" "luxus" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" "5 m²" "nincs megadva" "penthouse" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"2" "94.5" "83" "3" " 2. kerület, Fillér utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "panorámás" "10 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA NA NA
"3" "29.99" "60" "2" " 19. kerület, Eötvös utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "54" "67" "2" " 7. kerület, Izabella utca " "újszeru" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA "2018" NA NA NA
"5" "25.9" "53" "2" " 4. kerület, Deák Ferenc utca " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA NA NA
"6" "49.9" "69" "2" " 6. kerület, Szív utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "nincs" NA "1950 elott" "30 000 Ft/hó" NA NA
"7" "31.99" "72" "2" " 10. kerület, Gépmadár utca " "közepes állapotú" "nincs megadva" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" "1981-2000 között" NA NA NA
"8" "27.9" "53" "2" " 4. kerület, Újpesti lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA NA NA
"9" "25" "46" "1" " 9. kerület, Hentes utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "1950 elott" "9 000 Ft/hó" NA NA
"10" "72.91" "82" "4" " 8. kerület, T3 Green Home - lakások a város szívében " "új építésu" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "igen" "egy helyiségben" "nincs megadva" "udvari" "14.02 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "2019" NA "T3 Green Home - lakások a város szívében" "4.5 M Ft"
