"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "parkolohely_ara" "rezsikoltseg"
"1" "23.9" "53" "2" " 4. kerület, Aradi utca " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "igen" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA
"2" "209.9" "132" "3" " 6. kerület, Ó utca " "felújított" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA
"3" "149.9" "128" "3" " 3. kerület, Remetehegy " "újszeru" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "kelet" "panorámás" "62 m²" "nincs megadva" "nincs megadva" NA "önálló garázs - megvásárolható" "2001-2010 között" NA NA
"4" "47.3" "45" "2" " 13. kerület, Meder utca " "nincs megadva" "nincs megadva" "nincs megadva" "1" "9" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "19 m²" "igen" "nincs megadva" NA "nincs megadva" "2020" NA NA
"5" "49.9" "43" "2" " 13. kerület, Meder utca " "nincs megadva" "nincs megadva" "nincs megadva" "6" "9" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "délnyugat" "nincs megadva" "9 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2020" "4.5 M Ft" NA
"6" "56.3" "43" "2" " 13. kerület, Meder utca " "nincs megadva" "nincs megadva" "nincs megadva" "7" "9" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "délnyugat" "nincs megadva" "9 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2020" "4.5 M Ft" NA
"7" "99" "52" "1" " 5. kerület, Alkotmány utca " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "5" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"8" "29.5" "57" "2" " 3. kerület, Sarkadi Imre utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA
"9" "34.3" "68" "3" " 3. kerület, Kórház utca " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "67" "79" "3" " 5. kerület, Steindl Imre utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA
"11" "47.9" "82" "4" " 4. kerület, Tóth Aladár utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "4.86 m²" "nem" "legfelso emelet, nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1981-2000 között" NA NA
"12" "55" "54" "2" " 11. kerület, Bercsényi utca " "felújított" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA
"13" "70" "102" "3" " 7. kerület, Dohány utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" NA NA
"14" "26.9" "52" "2" " 3. kerület, Ágoston utca " "közepes állapotú" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "nincs megadva" "távfutés" "nincs" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "7.3 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "12 500 Ft/hó"
"15" "114" "99" "3" " 6. kerület, Belso-Terézváros " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
