"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "panelprogram"
"1" "32" "38" "1" " 8. kerület, Rákóczi út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "34.9" "54" "2" " 8. kerület, Práter utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "75.9" "78" "3" " 3. kerület, Óbuda-Óváros " "felújított" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "7 m²" "3 M Ft" NA
"4" "51.55" "71" "2" " 11. kerület, Albertfalva " "nincs megadva" "összkomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" NA "7 m²" NA NA
"5" "31.2" "62" "3" " 10. kerület, Kobánya – Újhegy " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA "4 m²" NA NA
"6" "63.89" "61" "2" " 11. kerület, Szentimreváros " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "egyéb" "16 000 Ft/hó" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"7" "94.9" "107" "3" " 2. kerület, Hárshegy " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "17 m²" NA NA
"8" "117" "97" "4" " 13. kerület, Petneházy utca 68. " "felújítandó" "nincs megadva" "AA++" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "dél" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely" "2019" "nincs" "81 m²" NA NA
"9" "31.9" "49" "2" " 22. kerület, Rózsakert utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" NA "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA "részt vett"
"10" "17.5" "35" "1" " 10. kerület, Gergely utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "nincs megadva" "elektromos" "21 000 Ft/hó" "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA NA NA
"11" "18.9" "38" "2" " 21. kerület, Csepel-Gyártelep " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA NA
"12" "83" "110" "3" " 2. kerület, Frankel Leó út " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"13" "89.9" "84" "2" " 12. kerület, Tündér utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 m²" NA NA
"14" "24.9" "33" "2" " 15. kerület, Kiss Erno utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"15" "21.5" "50" "2" " 21. kerület, Csepel-Gyártelep " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA NA
"16" "26.5" "60" "3" " 21. kerület, Csepel-Gyártelep " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"17" "63" "118" "3" " 8. kerület, Kerepesi út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "35 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "udvari beálló" "1950 elott" "van" NA NA NA
"18" "32.9" "59" "2" " 10. kerület, Somfa köz " "nincs megadva" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" "1981-2000 között" NA "4 m²" NA "nincs megadva"
"19" "95" "120" "3" " 3. kerület, Békásmegyer – Pünkösdfürdo " "felújított" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2001-2010 között" "nincs" NA NA NA
"20" "22.9" "36" "1" " 21. kerület, Rakéta utca 16. " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "7 200 Ft/hó" "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA NA NA
