"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "130" "122" "3" " 3. kerület, Mátyáshegy " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "12 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"2" "29.3" "49" "2" " 16. kerület, Mészáros József utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nem" NA "utca, közterület - ingyenes" "nincs" NA NA NA
"3" "26.9" "46" "1" " 11. kerület, Fejér Lipót utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "113.15" "138" "5" " 10. kerület, Kobánya – Újhegy " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "délnyugat" "udvari" "265 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" "4 M Ft" NA NA
"5" "45.97" "65" "3" " 10. kerület, Kobánya – Óhegy " "új építésu" "2019" "összkomfortos" "AA+" "1" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, hoszivattyú" "nem" "külön és egyben is" "nincs megadva" "utcai" "5.41 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "nincs" "5.3 M Ft" "10 000 Ft/hó" NA
"6" "59.9" "59" "2" " 12. kerület, Vércse köz " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "panorámás" "3 m²" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - bérelheto" "nincs" "5 000 Ft/hó" NA NA
"7" "39.9" "70" "3" " 15. kerület, Zsókavár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "7 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA "részt vett"
"8" "31.9" "58" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "délnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"9" "58.9" "118" "4" " 18. kerület, Bókaytelep " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "udvari" "8.85 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" "4.5 M Ft" NA NA
"10" "52.9" "95" "5" " 20. kerület, Pacsirtatelep " "új építésu" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "udvari" "3 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA
"11" "30.5" "49" "2" " 22. kerület, Tenkes utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "utcai" NA "nem" NA "utca, közterület" NA NA NA NA
"12" "23" "54" "2" " 10. kerület, Harmat utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"13" "90" "105" "2" " 5. kerület, Lipótváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "61.49" "85" "3" " 22. kerület, Budatétény " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "20 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA
"15" "32.6" "65" "3" " 3. kerület, Óbudai lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA "nincs megadva"
"16" "144" "159" "6" " 12. kerület, Dániel út " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "10 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"17" "79.9" "97" "4" " 6. kerület, Zichy Jeno utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "55.6" "52" "2" " 11. kerület, Péterhegy " "új építésu" "2018" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "14.7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "89" "101" "4" " 13. kerület, Angyalföld " "új építésu" "2019" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "69.9" "108" "4" " 8. kerület, Harminckettesek tere " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
