"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "69.9" "56" "2" " 12. kerület, Istenhegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "34.5" "58" "2" " 13. kerület, Hajdú utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"3" "33.4" "60" "2" " 19. kerület, Dobó Katica utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"4" "42.9" "47" "2" " 9. kerület, Tóth Kálmán utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "nincs" NA NA
"5" "19.8" "30" "1" " 4. kerület, Árpád út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "10 000 Ft/hó" NA
"6" "37" "54" "2" " 14. kerület, Egressy út " "felújított" NA "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA NA
"7" "32.73" "34" "1" " 6. kerület, Rózsa utca " "újszeru" "2020" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "105" "120" "4" " 12. kerület, Krisztina körút 23. " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "33.88" "36" "1" " 6. kerület, Rózsa utca " "újszeru" "2020" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "84.9" "115" "3" " 6. kerület, Teréz körút " "közepes állapotú" NA "komfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor), cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
