"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg" "lakopark_neve" "panelprogram"
"1" "45.9" "43" "1" " 7. kerület, Marek József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "48.5" "57" "2" " 8. kerület, Kálvária utca " "új építésu" "2020" "összkomfortos" "nincs megadva" "7" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "6.7 m²" "3.25 M Ft" NA NA NA
"3" "30.9" "69" "2" " 14. kerület, Alsórákos " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "27 000 Ft/hó" NA NA
"4" "38.9" "51" "2" " 8. kerület, Századosnegyed " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "12 m²" "4 M Ft" "30 000 Ft/hó" NA NA
"5" "22" "32" "1" " 8. kerület, Német utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "72" "68" "2" " 12. kerület, Virányos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "19 m²" NA NA NA NA
"7" "195" "111" "4" " 12. kerület, Németvölgy " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA NA NA
"8" "51.9" "70" "2" " 6. kerület, Izabella utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó" NA NA
"9" "45.3" "52" "2" " 2. kerület, Felvinci út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA NA NA NA
"10" "188.87" "95" "3" " 12. kerület, FS18 Residence " "új építésu" "2020" "luxus" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "észak" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "32.24 m²" "7 M Ft" NA "FS18 Residence" NA
"11" "23.7" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA "részt vett"
"12" "94.02" "90" "3" " 8. kerület, Bíró Lajos utca " "új építésu" "2019" "összkomfortos" "AA+" "földszint" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "nincs megadva" "külön helyiségben" "északkelet" "udvari" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "16.1 m²" "4.5 M Ft" NA NA NA
"13" "44.9" "46" "2" " 8. kerület, Bíró Lajos utca " "új építésu" "2019" "összkomfortos" "AA+" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "igen" "külön helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "8.13 m²" "3.9 M Ft" NA NA NA
"14" "66" "60" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"15" "26.9" "53" "2" " 10. kerület, Kobánya – Óhegy " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "40 000 Ft/hó" NA "nincs megadva"
"16" "44.9" "41" "2" " 7. kerület, Nagy Diófa utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"17" "26.4" "49" "2" " 10. kerület, Pára utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" NA "nincs megadva" "4 m²" NA NA NA NA
