"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "erkely" "parkolohely_ara" "rezsikoltseg"
"1" "48.9" "54" "2" " 7. kerület, Rózsa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "45.9" "43" "2" " 7. kerület, Marek József utca 4. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"3" "25.9" "58" "4" " 21. kerület, Csepel-Királymajor " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA NA NA
"4" "26.9" "59" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nincs megadva" NA NA NA
"5" "64" "66" "3" " 13. kerület, Meder utca 2-4 " "újszeru" "2019" "összkomfortos" "nincs megadva" "3" "9" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "30 m²" "4.5 M Ft" NA
"6" "33.89" "35" "1" " 13. kerület, Balzac utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "8 m²" NA "25 000 Ft/hó"
"7" "27.9" "51" "2" " 21. kerület, Erdosor utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" "3 m²" NA "30 000 Ft/hó"
"8" "39.9" "67" "4" " 4. kerület, Nyár utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "van" "részt vett" NA NA NA
"9" "31.9" "71" "2" " 4. kerület, Virág utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" "nem vett részt" "4 m²" NA NA
"10" "43.5" "45" "1" " 13. kerület, Balzac utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "8 m²" NA NA
"11" "37.5" "53" "1" " 19. kerület, Hunyadi utca " "felújított" NA "luxus" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "nem vett részt" "3 m²" NA "11 300 Ft/hó"
"12" "80" "89" "3" " 8. kerület, Stáhly utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "6 m²" NA NA
