"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara"
"1" "20.6" "24" "1" " 13. kerület, Szent László út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "10 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "76.68" "107" "4" " 22. kerület, Villa utca 8. " "új építésu" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "49.9" "89" "2" " 6. kerület, Podmaniczky utca 81. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"4" "38.9" "46" "1" " 8. kerület, Magdolna utca " "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "5 m²" NA
"5" "48.8" "53" "1" " 1. kerület, Széna tér 1. " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "28 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"6" "82.9" "120" "4" " 11. kerület, Bartók Béla út 134. " "felújított" NA "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "cserépkályha, elektromos" "nincs" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "északnyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"7" "62.9" "63" "2" " 5. kerület, Honvéd utca 40. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "44.9" "53" "2" " 3. kerület, Hunor utca 24-26 " "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 m²" "5 M Ft"
"9" "39.9" "72" "3" " 9. kerület, Mester utca 15. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "2 m²" NA
"10" "37.5" "38" "2" " 1. kerület, Pálya utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"11" "78.9" "92" "3" " 1. kerület, Aladár utca 4/A " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti, házközponti egyedi méréssel" NA "40 Ft/hó" "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"12" "74.9" "59" "2" " 12. kerület, Fodor utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), gázkazán" "nincs" NA "nem" "külön helyiségben" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "12 m²" NA
"13" "55.95" "89" "3" " 19. kerület, Ady Endre út 117. " "új építésu" "2018" "összkomfortos" "CC" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "van" NA "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "20 000 Ft/hó"
"14" "72.9" "74" "2" " 7. kerület, Erzsébet körút 44. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"15" "25.9" "30" "1" " 13. kerület, Fiastyúk utca 43. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"16" "66.9" "88" "3" " 6. kerület, Szív utca " "újszeru" "2017" "duplakomfortos" "BB" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "16 400 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "tetotéri" "utca, közterület - fizetos övezet" "14 m²" NA
"17" "65" "84" "2" " 2. kerület, Fényes Elek utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1 m²" NA
"18" "139" "136" "3" " 3. kerület, Haránt utca " "újszeru" "2001-2010 között" "luxus" "AA" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "25 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "panorámás" "igen" "nem tetotéri" "önálló garázs - megvásárolható" "58 m²" NA
"19" "130" "82" "3" " 2. kerület, Honfoglalás utca 40. " "új építésu" "2020" "luxus" "AA++" "2" "3" "van" "nincs megadva" "hoszivattyú, mennyezeti hutés-futés" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "teremgarázs hely" "80 m²" NA
"20" "69.9" "122" "4" " 8. kerület, Baross utca " "felújított" "1950 elott" "duplakomfortos" "H" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "40 000 Ft/hó" "nem" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
