"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"1" "97" "105" "3" " 7. kerület, Wesselényi utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "79.9" "138" "2" " 14. kerület, Thököly út " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "45 m²" NA NA
"3" "21.8" "37" "1" " 4. kerület, Szabolcsi Bence tér " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "1 m²" "8 000 Ft/hó" "nincs megadva"
"4" "27.9" "40" "2" " 13. kerület, Fiastyúk utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"5" "32.99" "65" "2" " 15. kerület, Drégelyvár utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "északkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "4 m²" NA "nem vett részt"
"6" "32.99" "55" "2" " 15. kerület, Erdokerülo utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "4 m²" NA "részt vett"
"7" "42.29" "75" "2" " 4. kerület, Lakkozó utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"8" "68.7" "117" "5" " 8. kerület, Pál utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"9" "69.89" "90" "3" " 7. kerület, Kertész utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA
"10" "24.5" "45" "1" " 21. kerület, Kiss János altábornagy utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
