"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "76.1" "69" "3" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "nyugat" "kertre nézo" "19.62 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "24.5" "36" "1" " 11. kerület, Ulászló utca " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"3" "56.5" "97" "3" " 11. kerület, Budafoki út " NA "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gázkazán" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"4" "22.5" "35" "1" " 21. kerület, Rakéta utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"5" "43.9" "59" "2" " 14. kerület, Bosnyák utca " NA "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "18 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "26.9" "49" "2" " 10. kerület, Kovágó utca " NA "felújított" NA "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA "nincs megadva" NA
"7" "53" "54" "2" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA "igen" "egy helyiségben" "kelet" "utcai" "10.29 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"8" "54.6" "54" "2" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "kelet" "utcai" "11.53 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"9" "49" "50" "2" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "nyugat" "kertre nézo" "8.46 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"10" "55.09" "54" "2" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "kelet" "utcai" "9.95 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
