"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "49.9" "71" "3" " 8. kerület, Ülloi út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "29.5" "61" "3" " 20. kerület, Nagy Gyory István utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA NA
"3" "57.9" "48" "2" " 5. kerület, Nádor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "elektromos" "igen" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "van" "30 000 Ft/hó" NA NA NA
"4" "22.9" "55" "2" " 20. kerület, Erzsébetfalva " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "2 m²" "nincs megadva" NA
"5" "27.5" "56" "3" " 20. kerület, Wesselényi utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"6" "28.2" "34" "1" " 11. kerület, Mezokövesd út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "20 000 Ft/hó" NA NA NA
"7" "59" "67" "2" " 5. kerület, Kecskeméti utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "59.9" "73" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" NA "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "5 m²" NA NA
"9" "19.9" "31" "1" " 19. kerület, Kispest " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "2 m²" NA NA
"10" "41.99" "50" "2" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor), fan-coil" "nem" "külön helyiségben" "kelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "13 000 Ft/hó" NA NA NA
"11" "89.9" "72" "3" " 2. kerület, Törökvész " "nincs megadva" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA NA "17 m²" NA NA
"12" "62.9" "80" "3" " 11. kerület, Kalotaszeg utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "31.3" "45" "2" " 13. kerület, Angyalföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "58.9" "55" "2" " 12. kerület, Zugliget " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"15" "25.9" "44" "3" " 19. kerület, Wekerletelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "délnyugat" "nincs megadva" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA "13 500 Ft/hó" NA NA NA
"16" "69.9" "80" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"17" "79.99" "85" "3" " 9. kerület, Vágóhíd utca " "újszeru" "2018" "luxus" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA "6.5 M Ft"
"18" "32.99" "52" "1" " 14. kerület, Istvánmezo " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"19" "24.95" "46" "2" " 17. kerület, Pesti út " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "tetotéri" "utca, közterület - ingyenes" NA "22 000 Ft/hó" NA NA NA
"20" "118.7" "114" "1" " 8. kerület, József körút 19. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "igen" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "40 000 Ft/hó" NA NA NA
