"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg"
"1" "74.9" "93" "3" " 3. kerület, Dózsa György utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), házközponti egyedi méréssel" "nem" "külön és egyben is" "nyugat" "panorámás" "3.36 m²" "igen" "tetotéri" "udvari beálló - benne van az árban" NA NA NA
"2" "49.9" "66" "2" " 6. kerület, Szív utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "49" "55" "2" " 11. kerület, Karinthy Frigyes út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "62.9" "77" "3" " 12. kerület, Alkotás utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "74.9" "95" "2" " 2. kerület, Szász Károly utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "24" "47" "2" " 15. kerület, Zsókavár utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"7" "123.99" "133" "3" " 6. kerület, Lovag utca " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "udvari" "66 m²" "nem" "nem tetotéri" "utca, közterület" NA "van" NA
"8" "85.5" "97" "2" " 2. kerület, Bimbó út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "12 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "22.9" "40" "1" " 14. kerület, Alsórákos " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "20 000 Ft/hó"
"10" "39.5" "58" "2" " 7. kerület, Király utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északnyugat" "udvari" NA "igen" "nem tetotéri" "utca, közterület" NA "nincs" NA
"11" "28" "47" "1" " 22. kerület, Batthyány utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "49.9" "53" "2" " 7. kerület, Kazinczy utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" "35 000 Ft/hó"
"13" "132" "212" "3" " 2. kerület, Törökvész " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "43.9" "60" "2" " 6. kerület, Király utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "56.5" "77" "3" " 11. kerület, Kelenföld " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"16" "63.53" "77" "4" " 8. kerület, Tolnai Lajos utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "8" "van" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "13 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" "5 000 Ft/hó"
"17" "54.9" "86" "3.5" " 4. kerület, Megyer – Nagyváradi liget lakópark " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "udvari" "1 m²" "nincs megadva" "nincs megadva" "önálló garázs" NA NA "15 000 Ft/hó"
