"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "lakopark_neve" "legkondicionalo" "panelprogram"
"1" "58.47" "59" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "15.73 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA NA
"2" "45.5" "73" "2" " 6. kerület, Bajza utca " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "21 000 Ft/hó" NA NA NA
"3" "48.96" "58" "2" " 11. kerület, Kelenliget Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "nincs megadva" "4.38 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA "Kelenliget Ház" "van" NA
"4" "79.95" "95" "4" " 8. kerület, Harminckettesek tere " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "48.96" "58" "2" " 11. kerület, Kelenliget Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "nincs megadva" "4.38 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA "Kelenliget Ház" "van" NA
"6" "49.2" "59" "2" " 11. kerület, Kelenliget Ház " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "kelet" "nincs megadva" "4.38 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA "Kelenliget Ház" "van" NA
"7" "119.9" "140" "3" " 11. kerület, Péterhegyi út " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "151 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "149" "124" "4" " 6. kerület, Andrássy út " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"9" "66.9" "102" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs" NA
"10" "34.5" "78" "2" " 10. kerület, Bihari utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "8 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA "25 000 Ft/hó" NA "nincs" NA
