"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "59.9" "94" "2" " 11. kerület, Villányi út " "felújítandó" "1950 elott" "összkomfortos" "EE" "1" "5" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "3.5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "139" "120" "4" " 2. kerület, Pasarét " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "panorámás" "24 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "10 M Ft" NA NA
"3" "39.9" "42" "2" " 13. kerület, Béke utca 119. " "újszeru" "2017" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "14 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "3 M Ft" NA NA
"4" "76.9" "100" "4" " 16. kerület, Rákosszentmihály " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "11 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"5" "78.9" "112" "3" " 6. kerület, Podmaniczky utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "31.9" "36" "1" " 6. kerület, Rózsa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "23 000 Ft/hó" NA
"7" "48.9" "88" "3" " 19. kerület, Kispest-Kertváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délkelet" "kertre nézo" "14 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"8" "89" "85" "3" " 6. kerület, Nagymezo utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "25.9" "50" "2" " 10. kerület, Gergely utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA "45 000 Ft/hó" NA
"10" "26.99" "49" "2" " 3. kerület, Szentendrei út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "25 000 Ft/hó" "nem vett részt"
