"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "76.9" "79" "3" " 5. kerület, Zoltán utca " "felújított" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "34.5" "55" "2" " 14. kerület, Erzsébet királyné útja " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"3" "69.5" "80" "2" " 5. kerület, Veres Pálné utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA NA NA NA NA
"4" "36" "72" "2" " 10. kerület, Hungária körút 5-7 " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "részt vett" NA NA NA NA
"5" "39.9" "45" "1" " 11. kerület, Szentimreváros " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950-1980 között" "van" "7 m²" NA
"6" "31.9" "45" "1" " 11. kerület, Albert utca " "jó állapotú" "nincs megadva" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "10 000 Ft/hó" "nincs megadva" NA "van" "5 m²" NA
"7" "99.9" "146" "4" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "nincs megadva" "nincs megadva" "nincs megadva" "6" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "33 000 Ft/hó" NA "2001-2010 között" "van" "43 m²" NA
"8" "28" "42" "1" " 10. kerület, Liget utca " "újszeru" "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA "2001-2010 között" NA NA "2 M Ft"
"9" "44.9" "76" "3" " 11. kerület, Albertfalvai tisztviselotelep " "jó állapotú" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA NA NA
"10" "35.8" "70" "3" " 15. kerület, Sárfu utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "1950-1980 között" NA "3 m²" NA
