"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "legkondicionalo" "rezsikoltseg" "lakopark_neve"
"1" "63.49" "83" "4" " 13. kerület, Hajdú utca 28. " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "kelet" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA NA
"2" "34.8" "55" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA NA
"3" "24" "42" "1" " 10. kerület, Bihari utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"4" "34.9" "44" "3" " 8. kerület, József körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"5" "26.5" "33" "1" " 14. kerület, Alsórákos " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "egyéb" "nem" "nincs megadva" "délkelet" "udvari" "6 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"6" "67" "64" "3" " 2. kerület, Zuhany utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "14 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "57.9" "62" "2" " 2. kerület, Fazekas utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "5 m²" "nincs megadva" NA "utca, közterület" NA NA "van" NA NA
"8" "34" "55" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "25.5" "53" "2" " 10. kerület, Kobánya-Városközpont " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "20 000 Ft/hó" NA
"10" "199.9" "85" "2" " 5. kerület, Kossuth Lajos tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "40 000 Ft/hó" NA
