"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely"
"1" "23" "35" "1" " 18. kerület, Reviczky Gyula utca 59. " "jó állapotú" "1981-2000 között" "összkomfortos" "BB" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti" "van" "21 700 Ft/hó" "igen" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA
"2" "66" "52" "3" " 5. kerület, Erzsébet tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" "3 m²"
"3" "65" "84" "3" " 12. kerület, Németvölgy " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"4" "139.9" "123" "3" " 13. kerület, Szent István körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "24 000 Ft/hó" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"5" "125" "87" "3" " 5. kerület, Hercegprímás utca " "jó állapotú" NA "nincs megadva" "BB" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²"
"6" "32.7" "52" "2" " 8. kerület, Bauer Sándor utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"7" "52.99" "53" "1" " 12. kerület, Orbánhegy " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "14 000 Ft/hó" "nem" "külön helyiségben" "dél" "kertre nézo" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "8 m²"
"8" "28.7" "43" "1" " 9. kerület, Ülloi út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" NA
"9" "30.5" "55" "2" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "9 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "7 m²"
"10" "33.9" "40" "1" " 13. kerület, Váci út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA
"11" "58" "87" "3" " 8. kerület, Tisztviselotelep " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "igen" "nincs megadva" "kelet" "kertre nézo" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" NA
"12" "42.9" "63" "2" " 7. kerület, Damjanich utca " "felújított" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "14 000 Ft/hó" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"13" "124.9" "114" "3" " 2. kerület, Pasaréti út 75. " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "házközponti" "nincs" NA "igen" "külön helyiségben" "délkelet" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely" NA
"14" "43.2" "70" "2" " 14. kerület, Tallér utca " "jó állapotú" NA "komfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" "2 m²"
"15" "42.9" "65" "2" " 6. kerület, Belso-Terézváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"16" "19" "65" "1" " 21. kerület, II. Rákóczi Ferenc út 345. " "jó állapotú" NA "komfortos" "AA" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" NA NA "utca, közterület - ingyenes" "2 m²"
"17" "209.9" "92" "2" " 6. kerület, Andrássy út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "tetotéri" NA "utca, közterület" "9 m²"
"18" "53.6" "60" "2" " 9. kerület, Páva utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
