"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "48.99" "59" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "75" "96" "3" " 3. kerület, Erdoalja út " "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "11 m²" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA
"3" "78.9" "110" "4" " 8. kerület, Népszínház utca " "újszeru" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "21 000 Ft/hó" NA NA NA
"4" "15.9" "27" "1" " 13. kerület, Országbíró utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "45" "68" "2" " 14. kerület, Herminamezo " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "igen" "nincs megadva" "utca, közterület" NA "1950-1980 között" NA NA
"6" "61.2" "73" "2" " 13. kerület, Angyalföld " "nincs megadva" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "15.2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "2012" NA NA
"7" "69.9" "83" "3" " 7. kerület, Erzsébet körút " "felújított" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "30 000 Ft/hó" "1950 elott" NA NA
"8" "55.9" "91" "3" " 16. kerület, Árpádföld " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "nincs megadva" NA "1981-2000 között" NA NA
"9" "66.77" "48" "1" " 7. kerület, Erzsébet körút " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "21.9" "22" "1" " 7. kerület, Garay tér " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "1981-2000 között" NA NA
"11" "28" "30" "1" " 7. kerület, Hernád utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "észak" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
